id,dayofweek,fromid,toid,distance,rank
1,1,6,6,0,0
2,1,6,10,10,1
3,1,6,48,22,2
4,1,6,51,25,3
5,1,6,35,27,4
6,1,6,33,29,5
7,1,6,27,32,6
8,1,6,28,32,7
9,1,6,26,34,8
10,1,6,42,34,9
11,1,6,32,36,10
12,1,6,13,41,11
13,1,6,94,42,12
14,1,6,95,53,13
15,1,6,77,64,14
16,1,6,90,68,15
17,1,6,76,70,16
18,1,6,87,71,17
19,1,6,93,71,18
20,1,6,86,72,19
21,1,6,92,72,20
22,1,6,84,75,21
23,1,6,85,75,22
24,1,6,73,81,23
25,1,6,96,82,24
26,1,6,99,84,25
27,1,6,101,86,26
28,1,6,97,87,27
29,1,6,106,104,28
30,1,6,67,105,29
31,1,6,107,106,30
32,1,6,112,126,31
33,1,6,119,137,32
34,1,6,72,233,33
35,1,10,10,0,0
36,1,10,6,10,1
37,1,10,51,13,2
38,1,10,48,20,3
39,1,10,35,24,4
40,1,10,33,27,5
41,1,10,27,30,6
42,1,10,28,30,7
43,1,10,26,31,8
44,1,10,42,31,9
45,1,10,32,33,10
46,1,10,13,36,11
47,1,10,94,51,12
48,1,10,95,63,13
49,1,10,77,74,14
50,1,10,90,77,15
51,1,10,76,79,16
52,1,10,87,80,17
53,1,10,93,80,18
54,1,10,86,81,19
55,1,10,92,81,20
56,1,10,84,84,21
57,1,10,85,85,22
58,1,10,73,90,23
59,1,10,96,91,24
60,1,10,99,92,25
61,1,10,97,95,26
62,1,10,101,96,27
63,1,10,67,100,28
64,1,10,106,113,29
65,1,10,107,115,30
66,1,10,112,135,31
67,1,10,119,147,32
68,1,10,72,228,33
69,1,13,13,0,0
70,1,13,51,17,1
71,1,13,32,18,2
72,1,13,48,19,3
73,1,13,26,20,4
74,1,13,28,20,5
75,1,13,27,21,6
76,1,13,42,22,7
77,1,13,35,24,8
78,1,13,33,25,9
79,1,13,10,36,10
80,1,13,6,41,11
81,1,13,67,77,12
82,1,13,94,77,13
83,1,13,95,89,14
84,1,13,77,100,15
85,1,13,90,103,16
86,1,13,76,105,17
87,1,13,87,106,18
88,1,13,93,106,19
89,1,13,86,107,20
90,1,13,92,107,21
91,1,13,84,110,22
92,1,13,85,110,23
93,1,13,73,116,24
94,1,13,97,116,25
95,1,13,96,117,26
96,1,13,99,118,27
97,1,13,101,122,28
98,1,13,106,139,29
99,1,13,107,141,30
100,1,13,112,161,31
101,1,13,119,172,32
102,1,13,72,205,33
103,1,26,26,0,0
104,1,26,27,1,1
105,1,26,28,1,2
106,1,26,32,2,3
107,1,26,42,2,4
108,1,26,35,8,5
109,1,26,33,9,6
110,1,26,48,12,7
111,1,26,51,17,8
112,1,26,13,20,9
113,1,26,10,31,10
114,1,26,6,34,11
115,1,26,94,73,12
